published_date,username,comment,like_count,reply_count,reply_to_user,reply_to_comment,video_id,clean,sentiment
2025-07-21T05:00:41Z,@masaksederhanaalarumahan,"Iqbal memerankan Dilan semasa dilan masih SMA,anak remaja,geng motor,labil dan gak suka di atur.

Dilan yang di perankan Arbani adalah dilan yang seorang mahasiswa,sudah dewasa dan aktifis.

Aku lihat mereka punya powernya masing masing.
Akting mereka juga sama² bagus.

Suka keduanya baik dilan SMA (versi Iqbal) maupun dilan mahasiswa (versi Arbani).",0,0,-,-,aY7tiJJTG_4,iqbal peran dil dil smaanak remajageng motorlabil gak suka atur dil peran arbani dil mahasiswasudah dewasa aktif lihat powernya akting bagus suka dil sma versi iqbal dil mahasiswa versi arbani,Neutral
2025-07-12T10:33:27Z,@wawanoconer8606,Gw dah nonton gak jelas filmnya dilateaplah dilan,0,0,-,-,aY7tiJJTG_4,gw dah nonton gak film dilateaplah dil,Neutral
2025-07-01T08:50:47Z,@anggigusvita1645,"Akuuu merubah penilaianku setelah nonton ancika,dilan sma dan dilan kuliah sama2 bikin jatuh cinta versi masing2,arbani sangattt cocok jd dilan yg lebih mature!!! ❤❤❤",0,0,-,-,aY7tiJJTG_4,akuuu rubah nilai nonton ancikadilan sma dil kuliah bikin jatuh cinta versi masingarbani sangattt cocok jd dil yg mature,Positive
2025-06-18T14:54:00Z,@rezkyfirmansyah6742,"Keren sih bani dan zee meraninnya, kalo dikasih nilai dari 1 s/d 10 , saya beri nilai 11.. 
Terimakasih film Dia yang bersamaKu - Ancika 1995",0,0,-,-,aY7tiJJTG_4,keren sih bani zee meraninnya kalo kasih nilai sd nilai terimakasih film sama ancika,Neutral
2025-02-14T23:58:04Z,@amiruddin406,Ga bakalan,0,0,-,-,aY7tiJJTG_4,ga,Neutral
2025-01-27T06:34:51Z,@AMD1-Argun,"""Gue udah nonton full nya dan gue berani bilang Arbani gak cocok jadi Dilan""",1,1,-,-,aY7tiJJTG_4,gue udah nonton full nya gue berani bilang arbani gak cocok dil,Positive
2025-01-27T20:26:22Z,@bazzXspeed,"real, padahal gue udh rewatch 2 kali ttp keliatan b aja, mungkin gabisa move on sm iqbal",0,-,@AMD1-Argun,"""Gue udah nonton full nya dan gue berani bilang Arbani gak cocok jadi Dilan""",aY7tiJJTG_4,real gue udh rewatch kali ttp liat b aja gabisa move on sm iqbal,Positive
2024-09-01T03:26:27Z,@adiyan726,Pls Bani.. Hindari adegan fulgar.. Semoga Alloh selalu menjagamu... Jadilah dirimu sendiri dengan pondasi agama yg selalu kamu pelajari.. Sukses Bani...,2,0,-,-,aY7tiJJTG_4,pls bani hindar adegan fulgar moga alloh jaga diri pondasi agama yg ajar sukses bani,Neutral
2024-08-31T13:45:07Z,@animardiyati5101,Banyii ku❤,0,0,-,-,aY7tiJJTG_4,banyii ku,Neutral
2024-07-11T17:30:04Z,@QuillenxAmily,Lebih suka dan Haru ...apalagi saat .membahas milea 😢❤,0,0,-,-,aY7tiJJTG_4,suka haru bahas milea,Neutral
2024-07-05T12:13:44Z,@anggraenipurnama7443,"Arbani dewasa bgt sumpah, bijak dia mah",0,0,-,-,aY7tiJJTG_4,arbani dewasa bgt sumpah bijak mah,Neutral
2024-07-04T21:24:15Z,@shandyputera,"Ok ok aja sih , 98℅ approve",0,0,-,-,aY7tiJJTG_4,ok ok aja sih approve,Positive
2024-07-02T05:52:23Z,@AhmadFathoniAziz,Gua udah nonton tetep aj ga cocok mendingan iqbal,0,0,-,-,aY7tiJJTG_4,gua udah nonton tetep aj ga cocok mending iqbal,Neutral
